Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,117.85,-113.325,90.0,top
C2,1uF,C_0603_1608Metric,114.25,-118.85,180.0,top
C3,100nF,C_0603_1608Metric,116.35,-113.325,-90.0,top
C4,100nF,C_0603_1608Metric,111.25,-107.5,0.0,top
C5,47uF,C_0603_1608Metric,108.25,-107.5,180.0,top
D1,MMBD4148TW,SOT-363_SC-70-6,120.85,-116.2,0.0,top
D2,MMBD4148TW,SOT-363_SC-70-6,125.1,-116.2,0.0,top
D3,MMBD4148TW,SOT-363_SC-70-6,129.45,-116.2,0.0,top
D4,MMBD4148TW,SOT-363_SC-70-6,133.5,-116.2,0.0,top
D5,MMBD4148TW,SOT-363_SC-70-6,137.45,-116.2,0.0,top
D6,MMBD4148TW,SOT-363_SC-70-6,141.45,-116.2,0.0,top
D7,MMBD4148TW,SOT-363_SC-70-6,145.45,-116.2,0.0,top
D8,MMBD4148TW,SOT-363_SC-70-6,149.45,-116.2,0.0,top
D9,MMBD4148TW,SOT-363_SC-70-6,153.35,-116.2,0.0,top
J1,1MHz Bus,IDC-Header_2x17_P2.54mm_Vertical,132.67,-125.48,0.0,top
J3,Audio_Jack_3420,PJ-3420-X-SMT,106.55,-115.0,0.0,top
J6,Power In,JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,158.0,-115.0,90.0,top
R1,100R,R_0603_1608Metric,113.5,-116.575,90.0,top
R2,470R,R_0603_1608Metric,115.0,-116.575,90.0,top
R3,220R,R_0603_1608Metric,114.0,-110.125,90.0,top
R4,100R,R_0603_1608Metric,111.25,-109.0,180.0,top
R5,1K8,R_0603_1608Metric,108.25,-109.0,0.0,top
RN1,100R,R_Array_Convex_4x0402,121.0,-119.0,180.0,top
RN2,100R,R_Array_Convex_4x0402,126.0,-119.0,180.0,top
RN3,100R,R_Array_Convex_4x0402,131.25,-119.0,180.0,top
RN4,100R,R_Array_Convex_4x0402,137.0,-119.0,180.0,top
RN5,100R,R_Array_Convex_4x0402,142.0,-119.0,180.0,top
RN6,100R,R_Array_Convex_4x0402,147.5,-119.0,180.0,top
U1,XC6206P332MR,SOT-23-3,117.5,-117.1375,270.0,top
U2,NC7WZ16,SOT-363_SC-70-6,114.15,-113.45,0.0,top
